Name,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
C.Doucouré,2.55715166666667,2.71109666666667,2.54761666666667,2.63735166666667,2.60039666666667,2.69866666666667,2.58101166666667,2.58316166666667,2.74362666666667,2.60371666666667,2.48306166666667,2.60762166666667,2.55942666666667,2.67358166666667,2.53281666666667,2.59064666666667,2.59806666666667,2.60307166666667,2.59924166666667,2.64476666666667,2.58913166666667,2.61740666666667,2.65370666666667,2.70765666666667,2.65793166666667,2.51694666666667,2.51365666666667,2.65054666666667,2.65492166666667,2.67636666666667,2.63322166666667,2.61225666666667
Edouard,3.01268166666667,3.40764666666667,3.01447166666667,3.09199166666667,3.16042166666667,3.21282666666667,3.02949166666667,3.11357666666667,3.19934666666667,3.20565666666667,2.99795166666667,3.20677666666667,3.04133666666667,3.08141166666667,3.06024666666667,3.09840666666667,3.08498666666667,3.08369166666667,3.19444166666667,3.16252666666667,3.05382666666667,3.17072666666667,3.20572166666667,3.17797666666667,3.15602666666667,3.03660166666667,3.03521166666667,3.19358666666667,3.28824666666667,3.18451666666667,3.09413666666667,3.17441666666667
Eze,3.80176666666667,4.04399166666667,3.69484666666667,3.86549166666667,3.79521166666667,3.98208666666667,3.75835166666667,3.76243666666667,4.06758166666667,3.80153166666667,3.57209166666667,3.80895666666667,3.71730666666667,3.93438166666667,3.66670666666667,3.77667666666667,3.79078166666667,3.80030166666667,3.79301666666667,3.87958666666667,3.77379666666667,3.82756166666667,3.89659166666667,3.99918166666667,3.90462166666667,3.63652666666667,3.63027166666667,3.89058166666667,3.89890166666667,3.93967666666667,3.85763166666667,3.81776666666667
Guéhi,3.908725,4.525515,3.85467,4.058075,4.513385,4.47299,3.99805,3.993635,4.495375,3.95322,3.67444,4.03672,3.895875,4.28961,3.88481,4.425715,3.971665,4.041725,4.134725,4.53927,3.95839,4.45081,4.258575,4.30369,4.31237,3.781525,3.65067,4.40981,4.385885,4.13383,4.29969,4.22165
Lerma,1.555395,1.706285,1.520465,1.61865,1.57821,1.685735,1.557005,1.559355,1.734925,1.58185,1.449835,1.58612,1.53339,1.658285,1.504275,1.56755,1.575665,1.58114,1.57695,1.62676,1.56589,1.596825,1.63654,1.69557,1.64116,1.48691,1.48331,1.633085,1.637875,1.661335,1.614125,1.59119
Schlupp,2.78366333333333,2.93267833333333,2.75160833333333,2.84568333333333,2.80693833333333,2.90996333333333,2.78661833333333,2.78887333333333,2.95709333333333,2.81042333333333,2.68393333333333,2.81451833333333,2.76398833333333,2.88366333333333,2.73609333333333,2.79672333333333,2.80449833333333,2.80974333333333,2.80572833333333,2.85345333333333,2.79513333333333,2.82477333333333,2.86282833333333,2.91938833333333,2.86725333333333,2.71945833333333,2.71600833333333,2.85951333333333,2.86410333333333,2.88658333333333,2.84134833333333,2.81937333333333
A.Doucoure,4.22615166666667,4.40891666666667,3.95354666666667,4.07717666666667,4.12068666666667,4.08933666666667,4.24296166666667,4.29862666666667,4.20266166666667,4.11259166666667,4.10783166666667,4.08780166666667,3.95940166666667,4.16622166666667,4.12893166666667,4.20482666666667,4.17357166666667,3.89912666666667,4.12369166666667,4.10368666666667,4.19704166666667,4.08182666666667,4.11374666666667,4.21017166666667,4.01395166666667,4.18675666666667,4.03496166666667,4.32221666666667,4.23801166666667,4.07335166666667,4.09049666666667,3.98763166666667
Onana,2.404555,2.544375,2.322355,2.392125,2.416685,2.39899,2.485695,2.517105,2.462945,2.412115,2.40943,2.39812,2.325655,2.44238,2.421335,2.46417,2.44653,2.29164,2.41838,2.40709,2.459775,2.39475,2.412765,2.467185,2.356445,2.45397,2.3683,2.53042,2.482895,2.38997,2.399645,2.34159
Pickford,2.701955,2.77082,2.680085,2.56803,2.705365,2.72842,2.788025,2.832395,2.668425,2.80237,2.79143,2.69819,2.65783,2.83035,2.70809,2.80244,2.70171,2.466765,2.82444,2.778405,2.82204,2.68462,2.591875,2.702115,2.667175,2.690165,2.65175,2.90217,2.650375,2.80743,2.699925,2.66606
Leno,4.68240833333333,4.57456333333333,4.57273333333333,4.65717833333333,4.66730833333333,4.52147333333333,4.53434333333333,4.55367333333333,4.78746833333333,4.70311333333333,4.54008333333333,4.56428833333333,4.57686833333333,4.49867333333333,4.52384833333333,4.65697333333333,4.67088833333333,4.64919833333333,4.58315833333333,4.55845333333333,4.58028833333333,4.71185833333333,4.57643833333333,4.63870833333333,4.71401833333333,4.54140333333333,4.43571333333333,4.46081833333333,4.70563833333333,4.59089833333333,4.53024833333333,4.68773833333333
Lukić,0.973491666666667,0.970726666666667,0.985281666666667,0.989331666666667,1.02484166666667,0.969861666666667,1.01134666666667,0.951056666666667,1.04504666666667,1.01313166666667,0.966456666666667,1.01051166666667,1.01648166666667,0.995856666666667,0.971811666666667,1.03495666666667,0.990391666666667,1.05534166666667,0.995771666666667,0.983761666666667,0.993666666666667,1.00527666666667,1.00715166666667,1.00775166666667,1.03903166666667,1.01456666666667,0.982576666666667,0.991896666666667,0.994431666666667,0.995291666666667,0.952546666666667,0.981601666666667
Alexander-Arnold,1.89270166666667,1.96814666666667,2.70436166666667,2.80723166666667,1.99154166666667,2.42913666666667,1.50585666666667,2.50486666666667,2.07087166666667,2.41446166666667,2.19533166666667,2.28762666666667,2.76499166666667,2.38255666666667,2.46329166666667,2.05709666666667,1.82158666666667,2.80383666666667,2.16279666666667,2.67107666666667,2.45027166666667,1.66657166666667,2.19667666666667,2.04958666666667,2.63340666666667,1.92251666666667,2.46492666666667,2.57363166666667,1.98492166666667,2.08163666666667,1.98687666666667,2.60416666666667
A.Becker,3.31348,3.406345,3.40612,3.54963,3.43995,3.25813,3.045565,3.48967,3.38604,3.34848,3.417485,3.232035,3.421425,3.279025,3.31803,3.43409,3.27629,3.304195,3.33346,3.31784,3.46885,3.26676,3.517775,3.32179,3.315495,3.297775,3.45964,3.434175,3.1628,3.31756,3.257115,3.271265
Darwin,2.72070666666667,2.74085166666667,2.88383166666667,3.12569666666667,2.64633166666667,2.71359166666667,2.60547166666667,3.09628166666667,2.88034666666667,2.74419666666667,2.84715666666667,2.69535166666667,2.81594166666667,2.87463166666667,2.81025166666667,2.71654666666667,2.68616666666667,2.81867166666667,2.66709666666667,2.82929166666667,2.83869166666667,2.65553666666667,2.86001666666667,2.87599166666667,2.73560166666667,2.60939666666667,2.77767166666667,2.98154166666667,2.75525666666667,2.72729166666667,2.80832666666667,2.86368666666667
Diogo J.,2.35920833333333,2.41405333333333,2.57945833333333,2.61098833333333,2.41275833333333,2.54391333333333,2.27397833333333,2.57428333333333,2.49446333333333,2.42548833333333,2.54785833333333,2.45730333333333,2.44021833333333,2.51575333333333,2.52173833333333,2.44401333333333,2.34447333333333,2.50308833333333,2.45553833333333,2.46432333333333,2.59219333333333,2.32198833333333,2.43858333333333,2.45046333333333,2.42641333333333,2.41950333333333,2.45285333333333,2.51747833333333,2.41580333333333,2.49258333333333,2.37607833333333,2.50569833333333
Gakpo,3.73288833333333,3.79123333333333,3.94365333333333,4.14584833333333,3.74510833333333,3.80133833333333,3.71095333333333,4.12125833333333,3.94074333333333,3.82692333333333,3.91299833333333,3.78609333333333,3.88690333333333,3.93596333333333,3.88214333333333,3.80380833333333,3.77841333333333,3.88918333333333,3.76246833333333,3.89806333333333,3.90591833333333,3.75280833333333,3.92374833333333,3.93710333333333,3.81973833333333,3.71423333333333,3.85490833333333,4.02533833333333,3.83616833333333,3.81279333333333,3.88053333333333,3.92681833333333
Luis Díaz,2.68885333333333,2.74777333333333,2.94204333333333,2.98094833333333,2.73634833333333,2.89818333333333,2.56510833333333,2.93565833333333,2.83716833333333,2.75205833333333,2.90305333333333,2.79131833333333,2.77023833333333,2.86344333333333,2.87082333333333,2.77491833333333,2.65209833333333,2.84780833333333,2.78914333333333,2.79997833333333,2.95776333333333,2.62434833333333,2.76822333333333,2.78287333333333,2.75319833333333,2.74467333333333,2.78582833333333,2.86556833333333,2.74010833333333,2.83485333333333,2.69109333333333,2.85103333333333
