Name,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Szoboszlai,4.18072833333333,4.11899333333333,4.14764333333333,4.29823833333333,4.33031833333333,4.12864333333333,4.26207833333333,3.98745833333333,4.29297333333333,4.21176833333333,4.14159833333333,4.26609333333333,4.17396333333333,4.15658333333333,4.23343333333333,4.23951833333333,4.16044333333333,4.05917833333333,4.22054333333333,4.17216833333333,4.18110833333333,4.31119833333333,4.03629833333333,4.15492333333333,4.16700333333333,4.14253833333333,4.13550833333333,4.16943833333333,4.23518333333333,4.13174333333333,4.20985833333333,4.09132833333333,4.22320333333333
Virgil,2.84334166666667,2.43515666666667,2.46918666666667,2.95614666666667,3.02272666666667,2.49481166666667,2.77802166666667,2.18047166666667,2.82703166666667,2.54615166666667,2.76852666666667,2.62670166666667,2.68643666666667,2.99538666666667,2.74787666666667,2.80012666666667,2.53723666666667,2.38481666666667,3.02053166666667,2.60564666666667,2.93460666666667,2.79170166666667,2.28448666666667,2.62757166666667,2.53237666666667,2.91022666666667,2.45013666666667,2.80118666666667,2.87153666666667,2.49052666666667,2.55312166666667,2.49179166666667,2.89130166666667
Adebayo,1.92076666666667,3.15934666666667,1.84433666666667,1.91115166666667,1.89294166666667,1.93265666666667,1.77362666666667,1.87455166666667,1.80823166666667,1.82518166666667,1.80130166666667,1.89409666666667,1.93271166666667,1.93613666666667,1.83789166666667,1.89751166666667,1.93352666666667,1.78410666666667,1.84932166666667,1.91623166666667,1.80022166666667,1.90838666666667,1.85447666666667,2.08329666666667,1.81468666666667,1.81967166666667,1.92775166666667,1.77126666666667,1.83611666666667,1.84600666666667,1.93822666666667,1.86111166666667,2.06565166666667
Andersen,2.62818166666667,3.55691166666667,2.46296166666667,2.59577166666667,2.42882166666667,2.40626166666667,2.40563166666667,2.60104666666667,2.49220166666667,2.53717166666667,2.31342166666667,2.60046166666667,2.57137166666667,2.45908166666667,2.45411666666667,2.70915666666667,2.45141166666667,2.35297666666667,2.66174666666667,2.50392166666667,2.24266666666667,2.55140666666667,2.58286666666667,2.72437166666667,2.40905666666667,2.36927166666667,2.69941666666667,2.25552166666667,2.58815666666667,2.59360666666667,2.68731166666667,2.42811666666667,2.61543666666667
Bell,1.86750833333333,2.89455833333333,1.73341333333333,1.85895833333333,1.70114333333333,1.67981833333333,1.67922333333333,1.86394833333333,1.76105333333333,1.80356833333333,1.59205833333333,1.86339333333333,1.83589833333333,1.72974833333333,1.72505333333333,1.96613833333333,1.72249833333333,1.62944333333333,1.92132833333333,1.77213333333333,1.52517333333333,1.81702333333333,1.84676333333333,1.98052333333333,1.68245833333333,1.64484833333333,1.95693333333333,1.53732333333333,1.85175833333333,1.85691333333333,1.94549333333333,1.70047833333333,1.87754833333333
Burke,1.83378833333333,2.76312333333333,1.64488833333333,1.77687333333333,1.61096333333333,1.58854333333333,1.58791833333333,1.78211833333333,1.67394833333333,1.71863833333333,1.49628333333333,1.78153333333333,1.75262833333333,1.64103333333333,1.63610333333333,1.88955333333333,1.63341333333333,1.53558833333333,1.84243833333333,1.68559333333333,1.42596833333333,1.73278333333333,1.76404833333333,1.90467333333333,1.59132333333333,1.55178333333333,1.87987333333333,1.43874333333333,1.76930333333333,1.77471833333333,1.86784333333333,1.61026333333333,1.79641833333333
Morris,4.31587666666667,5.91569166666667,4.19963666666667,4.29838666666667,4.27146666666667,4.33017166666667,4.09512166666667,4.24429166666667,4.14627166666667,4.17132166666667,4.13602666666667,4.27317666666667,4.33024666666667,4.33531166666667,4.19010666666667,4.27822166666667,4.33145666666667,4.11061666666667,4.20700166666667,4.30589166666667,4.13443666666667,4.29429666666667,4.21462166666667,4.55281166666667,4.15581166666667,4.16318166666667,4.32292166666667,4.09164166666667,4.18748666666667,4.20210166666667,4.33840166666667,4.22442666666667,4.52673166666667
Ogbene,1.51512166666667,2.40823666666667,1.50448166666667,1.55323166666667,1.53994666666667,1.56892666666667,1.45288666666667,1.52652666666667,1.47813666666667,1.49050166666667,1.47307666666667,1.54078666666667,1.56896166666667,1.57146666666667,1.49977666666667,1.54327666666667,1.56956166666667,1.46053166666667,1.50811666666667,1.55694166666667,1.47229166666667,1.55121666666667,1.51188166666667,1.67884166666667,1.48284666666667,1.48648166666667,1.56534666666667,1.45116666666667,1.49848666666667,1.50569666666667,1.57298666666667,1.51672166666667,1.66596666666667
Woodrow,1.02212,1.554055,1.006105,1.03517,1.02725,1.04453,0.975345,1.01925,0.9904,0.99777,0.987385,1.027755,1.04455,1.04604,1.0033,1.029235,1.044905,0.979905,1.008275,1.03738,0.986915,1.03397,1.010515,1.11006,0.993205,0.995375,1.042395,0.97432,1.00253,1.00683,1.04695,1.013405,1.102385
Aké,3.61035166666667,3.36848666666667,2.93437166666667,3.12081666666667,3.02675166666667,3.63039666666667,2.96433166666667,3.02804166666667,3.14454166666667,3.07439166666667,3.07784666666667,3.42827666666667,1.66666666666667,3.22970166666667,3.55300166666667,2.91855166666667,3.67916666666667,3.20462166666667,3.60552666666667,3.12637166666667,3.42706666666667,3.22870666666667,2.69189166666667,3.04853666666667,3.29702666666667,3.32627666666667,3.39092166666667,3.58088666666667,3.03378166666667,3.41743166666667,3.53135666666667,3.50874666666667,3.53533166666667
